Common Name,Botanical Name,Family,Description
Himalayan Abelia,Abelia triflora,Caprifoliaceae," Himalayan Abelia is an erect shrub, 1-3 m tall.
Young branches are hairy. Leaves are lanceshaped, 4-5 cm long, entire
or coarsely toothed, sparingly hairy, especially on margin and midrib
or hairless beneath. Leaf stalks are united by the broad bases. Flowers
are borne in small 3-flowered clusters from the axils of leafy bracts.
These clusters are crowded at branch ends. Flowers are white, 8 mm
across, tubular-funnel-shaped. The tube is reddish, about 9 mm long,
with 5 rounded spreading white petals. Flowers have 5, narrow linear
sepals which are feathery with silky hairs. Bracts are lanceshaped,
shining. Fruit is dry, achene-like, narrowly oblong, leathery, 5-6 mm
long, topped with long feathery sepals. Himalayan Abelia is found in
the Himalayas, from Afghanistan to C. Nepal, at altitudes of 1500-4200
m. Flowering: May-July. "
Angled Wild Mallow,Abelmoschus angulosus,Malvaceae," Angled Wild Mallow is a prickly annual shurb.
Leaves are round, 3-5 lobed, arrow-shaped or heart-shaped at base,
sparsely woolly on both sides, up to 12 x 10 cm; basally 9-ribbed.
Flowers are borne in racemes at branch-ends. False sepals are
ovate-pointed, densely hairy along margins. Petals are obovate, yellow
with purple base, 8-10 cm long. Capsule is densely hairy, subtended by
the enlarged false sepals. Angled Wild Mallow is found in Western
Ghats, Indo-Malesia to Australia. 
"
Purple Wild Musk Mallow,Abelmoschus angulosus var. purpureus,Malvaceae," Purple Wild Musk Mallow is a woody subshrub up to 2
m tall; stems stout, round, densely clothed with erect, rigid,
yellowish hairs. Leaves are alternate, 5-14 x 6-15 cm, heart-shaped at
base, 3-7 angular or lobed, 5-7 nerved at base, margins sawtoothed,
velvet-hairy with stiff appressed simple hairs on both surfaces;
leaf-stalks to 16 cm long. Flowers are borne in leaf-axils, solitary.
Involucellar bracts 4, fused throughout their length, splitting on one
side at anthesis, ovate- pointed, leathery, erect, accrescent,
prominently ribbed, densely bristly with rigid bristly hairs
intermingled with short star-shaped hairs outside, densely appressed
hairy within. Flower are up to 10 cm long, uniformly deep pink.
Capsules 4.5 cm long, ovoid, pointed, very densely velvet-hairy with
pale yellowish, rigid shiny prickly hairs. Seeds 3 mm diameter,
subspherical, brownish-black, concentrically velvet-hairy with white
hairs. Purple Wild Musk Mallow is found in Indo-Malesia. In India it is
distributed in Southern Western Ghats. Flowering: October-December. 
"
Hairy Okra,Abelmoschus crinitus,Malvaceae," Hairy Okra is an erect herb, 0.5-1.5 m tall. Roots are usually tuberous. 
Branches, leaf- and flower-stalks are hairy, usually bristly. Leaves are 
10-15 cm long and broad, circular or broadly ovate, heart-shaped at base, 
bristly-hairy, angular or 5-7 lobed, coarsely toothed. Stipules are 1-2 cm 
long, linear to thread-like. Leaf-stalks are 1-18 cm long. Flowers arise 
in leaf axils, usually singly, on 2 cm long stalks. The stalk elongates in 
fruit up to 3 cm. Pseudo-seppals are 10-16, 2.5-5 cm long, 0.5-1 mm broad, 
linear. Sepals cup is 2-2.5 cm long. Flowers are 6-7 cm across, yellow 
with a purple spot in the centre. Petals are 6-8 cm long, 4 cm broad, 
obovoid. Stamen column is about 2 cm long. Capsule is 3.5-5 cm long, 
2.5-3.5 cm across, ovoid to round, velvety, bristly. Seeds are 3-3.5 mm 
across, globular or kidney-shaped, black, rusty velvety or hairless. "
Ladies Finger,Abelmoschus esculentus,Malvaceae," A member of the hibiscus family, okra is an annual
that gets 3-8' tall (depending on the cultivar) and bears yellow
flowers that give rise to the familiar okra pods so common in India as
a fried vegetable. Okra's attractive blossoms are ivory or yellow in
color, funnel-shaped and resemble hibiscus flowers. The throat of the
flower is maroon. The plant is a rather coarse annual with large lobed,
slightly spiny leaves and a thick, semiwoody stem with few branches. 
"
White Wild Musk Mallow,Abelmoschus ficulneus,Malvaceae," White Wild Musk Mallow is a small erect shrub. It grows 2-5 ft tall and 
spreads 2-6 ft across. Leaves are 5-8 cm long, 4-7 cm wide, circular, 
heart-shaped at base, toothed, rough on both sides, 3-5 lobed. The flower 
stalks occur at the end of branches or in leaf axils. They are covered 
with velvety hairs. The flowers are 5-7 cm across. The flowers have short 
stalks and are white turning pink, with a dark purple spot in the centre. 
Stamen tube is about 1.5 cm long. Flowers last a couple of days. The seed 
capsule is 5 angled. The plant has small hairs which cause itching. "
Sweet Hibiscus,Abelmoschus manihot,Malvaceae,"
Sweet Hibiscus is characterized by big and glorious, 5-6 inch across, pale 
yellow Hibiscus type flowers with deep burgundy & garnet eyes. Growing to 5 
feet tall, this stout and almost woody annual bears magnificent, tropical 
looking leaves, and so it looks cool even before it blooms mid-summer. 
There can be big differences in leaf shape, colour and production and 
flavour but leaves are usually palmate, about 4 inches across. It grows 
very quickly. Cuttings taken in spring can reach over 2 metres by autumn in 
sub-tropical areas. 
While the large yellow flowers are very ornamental, the importance of this 
plant is that it is one of the world's most nutritious leafy vegetables 
because of its high protein content. The leaves are tender and sweet and 
can be served raw or steamed"
Pink Swamp Mallow,Abelmoschus moschatus subsp. tuberosus,Malvaceae," Pink Swamp Mallow is a delightful, soft, herbaceous
trailing plant to 2 m in diameter with soft hairy stems. It has an
underground tuber and dies back to this tuber in the dry season,
emerging again with the first substantial rains of the wet season. It
is a relative of the edible Okra and tubers and foliage were a source
of food for Aborigines. The leaves are alternate, rough,
hairy,heart-shaped or 3-5 lobed with serrated margins, 4-10cm x
4-8.5cm. Flowers are Hibiscus-like, usually watermelon pink but
sometimes white or cream - always with a dark centre. Flowers last for
one day only but are very prolific and are borne between October and
April, flowering time depending on the timing of the wet season. Black
seeds are held in hairy, tough but papery capsules. Pink Swamp Mallow
is found in India, China, SE Asia and Australia. It is grown as a
garden plant. "
Delavay Fir,Abies delavayi,Pinaceae," Delavay's Fir is a tree native to SW China, Arunachal Pradesh and northern 
Myanmar, and Vietnam. It is a high altitude mountain tree, growing at 
elevations of 3000-4000 m. It is a small to medium-sized evergreen tree 
growing to 7-40 m tall. The shoots are purple-brown to dark red-brown, 
smooth or finely velvety. The leaves are needle-like, 1.5-3 cm long and 
1-2 mm broad, with a distinctive rolled-back margin. The upper surface of 
the leaves is glossy dark green with no stomata, the underside vivid 
snow-white with the stomata densely covered in white wax. This is thought 
to be an adaptation to exclude very heavy rain in its monsoon  climate.  
The cones are dark purple-blue, 6-12 cm long and 3-4.5 cm broad, with 
numerous small scales and exserted bracts. They break up when mature at 
6–8 months old to release the winged seeds. "
Sikkim Fir,Abies densa,Pinaceae," Sikkim Fir is a trees up to 60 m tall, with bark
scaly; branchlets initially grayish yellow or light brown, turning
yellowish gray or grayish brown in 2nd or 3rd year, velvet-hairy;
winter buds resinous. Leaves are radially spreading or ascending on
upper side of branchlets, comb-like arranged in 2 lateral sets on lower
side, linear, 2-4.5 cm x 2.5-3 mm, stomatal lines usually in 2 white
bands below, resin canals 2, marginal, lower, margin curled, tip blunt
or notched. Seed cones are nearly stalkless, black-purple at maturity,
9-10 x 4-4.5 cm. Seed scales at middle of cones almost
fanshaped-trapeziform or kidney-shaped-trapeziform, thick, incurved,
1.5-1.9 x 1.8-2.2 cm. Bracts are wedge-shaped-obovate, 5/6 as long as, 
to equaling seed scales, tip shortly cuspidate, cusp protruding,
pointed. Seeds with wing black-brown, wedge-shaped-oblong, and flat at
tip. Sikkim Fir is  is found in Eastern Himalayas, from Nepal to
Bhutan, NE India,  Sikkim and SE Tibet, at altitudes of 2800-3700 m. 
"
